"Please use ; for delimiter"
Workout - 30/12/2025 n3

Date;Time;Exercise;Team;N° of athletes
12/30/2025;16:18;Sprint;;1

N;ID;REACTION TIME;TIME;GAP;TOTAL;DIST. (m);SPEED (m/s);FQ (s/s);LENGTH (m);NUMBER;L1 - 20.0;TOTAL 1;SPD 1;FQ (s/s);LENGTH (m);NUMBER;L2 - 20.0;TOTAL 2;SPD 2;FQ (s/s);LENGTH (m);NUMBER

2;SING;0.194s;05.63 (2);+00.02;12.97;40;7.10;4.35;1.69;24.4;03.39;03.39;5.90;4.22;1.40;14.3;02.24;05.63;8.93;4.50;1.98;10.1

4;SING;0.202s;05.61 (2);-;26.08;40;7.13;4.25;1.77;24.0;03.38;03.38;5.92;4.45;1.33;15.0;02.23;05.61;8.97;4.05;2.21;9.0
